Name,Description,geometry,lon,lat
MD1,,"c(149.482862772128, -33.8144635702847, 0)",149.4828627721283,-33.81446357028465
MD2,,"c(149.483048422636, -33.8282548186301, 0)",149.4830484226355,-33.82825481863006
MD3,,"c(149.486752193758, -33.832953596425, 0)",149.4867521937577,-33.83295359642505
MD4,,"c(149.489424447516, -33.8374719162509, 0)",149.4894244475162,-33.83747191625092
MD5,,"c(149.48554574332, -33.8485467953315, 0)",149.4855457433201,-33.84854679533154
MD6,,"c(149.48551076076, -33.8550089632655, 0)",149.48551076076,-33.85500896326547
MD7,,"c(149.489165433686, -33.859372483158, 0)",149.4891654336855,-33.85937248315802
MD8,,"c(149.480533578728, -33.8656078046123, 0)",149.4805335787281,-33.86560780461232
MD9,,"c(149.470548702949, -33.851678323455, 0)",149.4705487029488,-33.85167832345495
MD10,,"c(149.46738607433, -33.8582118030679, 0)",149.4673860743296,-33.85821180306786
MD11,,"c(149.457856534263, -33.8474986939322, 0)",149.4578565342632,-33.84749869393219
MD12,,"c(149.444325681206, -33.8388206127823, 0)",149.4443256812056,-33.83882061278234
MD13,,"c(149.439334226132, -33.8509467579708, 0)",149.4393342261318,-33.85094675797083
MD14,,"c(149.445977525335, -33.8589061560442, 0)",149.4459775253347,-33.85890615604421
MD15,,"c(149.445720314586, -33.8691982772096, 0)",149.4457203145864,-33.86919827720956
MD16,,"c(149.462957450182, -33.8696584428175, 0)",149.4629574501821,-33.86965844281748
MD17,,"c(149.442161010247, -33.8799214865065, 0)",149.4421610102467,-33.87992148650653
MD18,,"c(149.459983977177, -33.8784634156855, 0)",149.4599839771772,-33.87846341568549
MD19,,"c(149.469926568814, -33.8856191985016, 0)",149.4699265688139,-33.88561919850156
MD20,,"c(149.482110063756, -33.8835369377452, 0)",149.4821100637564,-33.88353693774519
MD21,,"c(149.485058471847, -33.8773159180074, 0)",149.4850584718469,-33.8773159180074
MD22,,"c(149.48115021112, -33.8724120332859, 0)",149.4811502111203,-33.87241203328586
MD23,,"c(149.497919760752, -33.8699597503787, 0)",149.4979197607523,-33.86995975037868
MD24,,"c(149.488332754326, -33.8911189861443, 0)",149.4883327543259,-33.89111898614429
MD25,,"c(149.499958678004, -33.8918726597607, 0)",149.4999586780037,-33.89187265976071
MD26,,"c(149.503603355799, -33.884733689006, 0)",149.5036033557986,-33.88473368900605
MD27,,"c(149.504696734182, -33.8802020748532, 0)",149.5046967341822,-33.88020207485317
MD28,,"c(149.509491265229, -33.8760097796473, 0)",149.509491265229,-33.87600977964735
MD29,,"c(149.510839573907, -33.870792881658, 0)",149.5108395739069,-33.87079288165805
MD30,,"c(149.530354845053, -33.872208559399, 0)",149.5303548450531,-33.87220855939895
MD31,,"c(149.535618583428, -33.857123801588, 0)",149.5356185834277,-33.85712380158802
MD32,,"c(149.539158462651, -33.8652070698628, 0)",149.5391584626506,-33.86520706986281
