"Column name","Requested field","DwC Name","Field name","Field description","Download field name","Download field description","More information"
"recordID","id","recordID","id","Record ID","id","Record ID","Atlas unique ID for this record http://rs.tdwg.org/dwc/terms/recordID"
"scientificName","scientificName","scientificName","scientificName","Scientific name","scientificName","Scientific Name (intepreted)","The name the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/scientificName"
"taxonConceptID","taxonConceptID","taxonConceptID","taxonConceptID","Taxon Concept ID","taxonConceptID","","The GUID for the concept in the National Species List (NSL) http://rs.tdwg.org/dwc/terms/taxonConceptID"
"decimalLatitude","decimalLatitude","decimalLatitude","decimalLatitude","Latitude","decimalLatitude","Decimal latitude (WGS84)","The decimal latitude associated with this record. If the original latitude was supplied in degrees, minutes, seconds, this value represents the converted value. http://rs.tdwg.org/dwc/terms/decimalLatitude"
"decimalLongitude","decimalLongitude","decimalLongitude","decimalLongitude","Longitude","decimalLongitude","Decimal longitude (WGS84)","The decimal longitude associated with this record. If the original longitude was supplied in degrees, minutes, seconds, this value represents the converted value. http://rs.tdwg.org/dwc/terms/decimalLongitude"
"eventDate","eventDate","eventDate","eventDate","Event Date","eventDate","Event Date","The ISO formatted date of observation, specimen collection date. http://rs.tdwg.org/dwc/terms/eventDate"
"occurrenceStatus","occurrenceStatus","occurrenceStatus","occurrenceStatus","Presence/Absence","occurrenceStatus","Occurrence status","A statement about the presence or absence of a taxon at a Location http://rs.tdwg.org/dwc/terms/occurrenceStatus"
"dataResourceName","dataResourceName","","dataResourceName","Dataset","dataResourceName","Data Resource Name","The data resource that supplies the record. This is typically a CSV or DwCA file, or a webservice."
"multimedia","multimedia","","multimedia","Multimedia","multimedia","",""
"images","imageIDs","images","imageIDs","images","imageIDs","images","Image URLs for this record http://rs.tdwg.org/dwc/terms/images"
"videos","videoIDs","videos","videoIDs","videos","videoIDs","videos","http://rs.tdwg.org/dwc/terms/videos"
"sounds","soundIDs","sounds","soundIDs","sounds","soundIDs","sounds","http://rs.tdwg.org/dwc/terms/sounds"
